Região,UF,Município,IFDM,Educação,Saúde,Emprego & Renda
Sudeste,SP,São Miguel Arcanjo,"0,6854","0,7416","0,5827","0,7319"
Centro-Oeste,GO,Rialma,"0,6854","0,8427","0,4806","0,7330"
Sudeste,MG,São João Nepomuceno,"0,6853","0,7476","0,5830","0,7254"
Sul,RS,Linha Nova,"0,6853","0,7704","0,7324","0,5531"
Sudeste,SP,Itobi,"0,6852","0,6535","0,7327","0,6695"
Sul,SC,Galvão,"0,6852","0,6502","0,6671","0,7383"
Sudeste,RJ,Vassouras,"0,6851","0,5624","0,7313","0,7617"
Sudeste,SP,Bertioga,"0,6850","0,7145","0,5010","0,8394"
Sudeste,SP,Brejo Alegre,"0,6850","0,7832","0,6811","0,5907"
Sudeste,SP,Santo Antônio do Pinhal,"0,6850","0,6318","0,7106","0,7125"
