Região,UF,Município,IFDM,Educação,Saúde,Emprego & Renda,codigo_ibge
Sudeste,SP,Guarantã,"0,6773","0,7419","0,6501","0,6398",3518107
Sul,PR,Jataizinho,"0,6773","0,7154","0,6980","0,6186",4112702
Sul,PR,Luiziana,"0,6773","0,6212","0,7462","0,6646",4113734
Sudeste,ES,Montanha,"0,6772","0,7731","0,5796","0,6790",3203502
Sudeste,SP,Clementina,"0,6772","0,7945","0,5169","0,7201",3511904
Sul,RS,Quatro Irmãos,"0,6772","0,6154","0,7619","0,6544",4315313
Nordeste,PI,Pajeú do Piauí,"0,6771","0,8693","0,6265","0,5356",2207355
Nordeste,AL,Porto Calvo,"0,6771","0,7189","0,6979","0,6145",2707305
Centro-Oeste,GO,Silvânia,"0,6771","0,7414","0,5523","0,7375",5220603
Sudeste,SP,Paulicéia,"0,6770","0,7089","0,5422","0,7798",3536406
Sul,RS,Trindade do Sul,"0,6770","0,6676","0,4144","0,9490",4321956
Sul,PR,Itaguajé,"0,6769","0,7439","0,7244","0,5623",4110904
Sul,PR,Uraí,"0,6769","0,7582","0,6662","0,6063",4128401
Sul,SC,São Cristóvão do Sul,"0,6767","0,6212","0,5094","0,8994",4216057
Centro-Oeste,GO,Carmo do Rio Verde,"0,6767","0,7124","0,7224","0,5952",5205000
Sudeste,MG,São Roque de Minas,"0,6766","0,6209","0,5609","0,8480",3164308
Centro-Oeste,MT,Juara,"0,6766","0,5991","0,5618","0,8690",5105101
Nordeste,PB,João Pessoa,"0,6765","0,6131","0,6376","0,7787",2507507
Sudeste,MG,Nova Era,"0,6765","0,6919","0,5800","0,7577",3144706
Sudeste,ES,Guarapari,"0,6765","0,7154","0,5756","0,7385",3202405
Sul,PR,Leópolis,"0,6764","0,8007","0,6294","0,5991",4113403
Sudeste,MG,Pitangui,"0,6763","0,7271","0,5759","0,7260",3151404
Sudeste,SP,Novais,"0,6762","0,7874","0,5349","0,7064",3533254
Centro-Oeste,MT,Lambari D'Oeste,"0,6762","0,5914","0,6300","0,8073",5105234
Sudeste,ES,Cariacica,"0,6761","0,6670","0,6349","0,7264",3201308
Sudeste,SP,Ferraz de Vasconcelos,"0,6761","0,7639","0,6611","0,6034",3515707
Sudeste,SP,Itanhaém,"0,6761","0,7342","0,6901","0,6040",3522109
Sudeste,MG,Botelhos,"0,6760","0,6157","0,7196","0,6928",3108404
Norte,RO,Porto Velho,"0,6759","0,5412","0,6660","0,8206",1100205
Sudeste,MG,Ibiá,"0,6759","0,5626","0,5988","0,8664",3129509
Sudeste,SP,Teodoro Sampaio,"0,6758","0,7957","0,5878","0,6438",3554300
Sul,RS,Erebango,"0,6758","0,6021","0,8407","0,5847",4306973
Centro-Oeste,MT,Feliz Natal,"0,6758","0,5677","0,6332","0,8265",5103700
Nordeste,CE,Groaíras,"0,6757","0,8708","0,7177","0,4387",2304905
Sudeste,SP,Caiabu,"0,6756","0,8254","0,7235","0,4779",3508900
Centro-Oeste,GO,Palminópolis,"0,6756","0,7212","0,6469","0,6588",5215900
Sul,RS,Canudos do Vale,"0,6755","0,6448","0,7649","0,6168",4304614
Centro-Oeste,MT,Mirassol d'Oeste,"0,6755","0,7662","0,4516","0,8087",5105622
Centro-Oeste,GO,Diorama,"0,6755","0,6723","0,7093","0,6449",5207105
Sul,SC,Dionísio Cerqueira,"0,6754","0,6634","0,5829","0,7798",4205001
Nordeste,PE,Ipojuca,"0,6753","0,6807","0,6115","0,7338",2607208
Sul,RS,Brochier,"0,6753","0,6050","0,7359","0,6851",4302659
Sul,PR,Marilândia do Sul,"0,6752","0,6811","0,6847","0,6599",4114906
Sul,PR,Matinhos,"0,6752","0,7342","0,4916","0,7998",4115705
Sul,SC,Imbuia,"0,6752","0,6744","0,5823","0,7688",4207403
Sudeste,SP,Biritiba Mirim,"0,6749","0,6092","0,7659","0,6497",3506607
Sudeste,MG,Coronel Pacheco,"0,6748","0,5138","0,8724","0,6382",3119609
Centro-Oeste,GO,Doverlândia,"0,6748","0,5890","0,6527","0,7828",5207253
Sul,RS,São João da Urtiga,"0,6747","0,7006","0,7190","0,6046",4318424
Centro-Oeste,MT,Santo Afonso,"0,6747","0,6905","0,6694","0,6642",5107263
Centro-Oeste,GO,São Miguel do Araguaia,"0,6746","0,6889","0,6038","0,7310",5220207
Centro-Oeste,GO,Montes Claros de Goiás,"0,6745","0,6274","0,5609","0,8352",5213707
Nordeste,CE,Jaguaribe,"0,6744","0,8430","0,7103","0,4699",2306900
Sudeste,SP,Cachoeira Paulista,"0,6743","0,7443","0,6257","0,6529",3508603
Sul,SC,São Joaquim,"0,6743","0,5798","0,5387","0,9043",4216503
Norte,PA,Canaã dos Carajás,"0,6742","0,5345","0,6572","0,8309",1502152
Sul,RS,Campo Novo,"0,6742","0,5978","0,6383","0,7866",4304002
Norte,RO,Rolim de Moura,"0,6741","0,6106","0,5710","0,8408",1100288
Sudeste,MG,Wenceslau Braz,"0,6741","0,7930","0,6468","0,5826",3172202
